School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
Covington-Harper Elementary,Prince William County Public Schools,42.5,Covington-Harper Elementary Prince William County Public Schools
Dumfries Elementary,Prince William County Public Schools,77.3,Dumfries Elementary Prince William County Public Schools
Potomac High,Prince William County Public Schools,49.7,Potomac High Prince William County Public Schools
Potomac Middle,Prince William County Public Schools,55.6,Potomac Middle Prince William County Public Schools
Swans Creek Elementary,Prince William County Public Schools,58,Swans Creek Elementary Prince William County Public Schools
George P. Mullen Elementary,Prince William County Public Schools,70.1,George P. Mullen Elementary Prince William County Public Schools
Suella G. Ellis Elementary,Prince William County Public Schools,75.7,Suella G. Ellis Elementary Prince William County Public Schools
West Gate Elementary,Prince William County Public Schools,89,West Gate Elementary Prince William County Public Schools
Bennett Elementary,Prince William County Public Schools,23.9,Bennett Elementary Prince William County Public Schools
Pennington Traditional,Prince William County Public Schools,17.8,Pennington Traditional Prince William County Public Schools
Loch Lomond Elementary,Prince William County Public Schools,76.8,Loch Lomond Elementary Prince William County Public Schools
Osbourn Park High,Prince William County Public Schools,34.9,Osbourn Park High Prince William County Public Schools
Ashland Elementary,Prince William County Public Schools,13.4,Ashland Elementary Prince William County Public Schools
Charles J. Colgan Sr. High,Prince William County Public Schools,18.4,Charles J. Colgan Sr. High Prince William County Public Schools
Coles Elementary,Prince William County Public Schools,36.2,Coles Elementary Prince William County Public Schools
Herbert J. Saunders Middle,Prince William County Public Schools,32.7,Herbert J. Saunders Middle Prince William County Public Schools
Louise A. Benton Middle,Prince William County Public Schools,15.9,Louise A. Benton Middle Prince William County Public Schools
Thurgood Marshall Elementary,Prince William County Public Schools,14.5,Thurgood Marshall Elementary Prince William County Public Schools
Graham Park Middle,Prince William County Public Schools,54,Graham Park Middle Prince William County Public Schools
J.W. Alvey Elementary,Prince William County Public Schools,4.1,J.W. Alvey Elementary Prince William County Public Schools
Ronald Wilson Reagan Middle,Prince William County Public Schools,12,Ronald Wilson Reagan Middle Prince William County Public Schools
Samuel L. Gravely Jr. Elementary,Prince William County Public Schools,12.3,Samuel L. Gravely Jr. Elementary Prince William County Public Schools
Brentsville District High,Prince William County Public Schools,12.4,Brentsville District High Prince William County Public Schools
The Nokesville School,Prince William County Public Schools,17.8,The Nokesville School Prince William County Public Schools
Belmont Elementary,Prince William County Public Schools,72.2,Belmont Elementary Prince William County Public Schools
Elizabeth Vaughan Elementary,Prince William County Public Schools,80.1,Elizabeth Vaughan Elementary Prince William County Public Schools
Featherstone Elementary,Prince William County Public Schools,81.3,Featherstone Elementary Prince William County Public Schools
Fred M. Lynn Middle,Prince William County Public Schools,79.1,Fred M. Lynn Middle Prince William County Public Schools
Marumsco Hills Elementary,Prince William County Public Schools,84.6,Marumsco Hills Elementary Prince William County Public Schools
Mary G. Porter Traditional,Prince William County Public Schools,24.9,Mary G. Porter Traditional Prince William County Public Schools
Potomac View Elementary,Prince William County Public Schools,87.3,Potomac View Elementary Prince William County Public Schools
R. Dean Kilby Elementary,Prince William County Public Schools,84.6,R. Dean Kilby Elementary Prince William County Public Schools
Rippon Middle,Prince William County Public Schools,59.6,Rippon Middle Prince William County Public Schools
Woodbridge Middle,Prince William County Public Schools,52.5,Woodbridge Middle Prince William County Public Schools
Antietam Elementary,Prince William County Public Schools,38.9,Antietam Elementary Prince William County Public Schools
Gar-Field High,Prince William County Public Schools,66.9,Gar-Field High Prince William County Public Schools
John D. Jenkins Elementary,Prince William County Public Schools,75.7,John D. Jenkins Elementary Prince William County Public Schools
Occoquan Elementary,Prince William County Public Schools,59.8,Occoquan Elementary Prince William County Public Schools
Old Bridge Elementary,Prince William County Public Schools,25.6,Old Bridge Elementary Prince William County Public Schools
Bel Air Elementary,Prince William County Public Schools,76.9,Bel Air Elementary Prince William County Public Schools
C.D. Hylton High,Prince William County Public Schools,43.9,C.D. Hylton High Prince William County Public Schools
Dale City Elementary,Prince William County Public Schools,74.4,Dale City Elementary Prince William County Public Schools
Enterprise Elementary,Prince William County Public Schools,74.6,Enterprise Elementary Prince William County Public Schools
Forest Park High,Prince William County Public Schools,32.2,Forest Park High Prince William County Public Schools
George M. Hampton Middle,Prince William County Public Schools,74.6,George M. Hampton Middle Prince William County Public Schools
Kerrydale Elementary,Prince William County Public Schools,67.2,Kerrydale Elementary Prince William County Public Schools
Kyle R. Wilson Elementary,Prince William County Public Schools,39.5,Kyle R. Wilson Elementary Prince William County Public Schools
Neabsco Elementary,Prince William County Public Schools,79.7,Neabsco Elementary Prince William County Public Schools
Rosa Parks Elementary,Prince William County Public Schools,42.9,Rosa Parks Elementary Prince William County Public Schools
Sharon C. McAuliffe Elementary,Prince William County Public Schools,60.2,Sharon C. McAuliffe Elementary Prince William County Public Schools
Sonnie Penn Elementary,Prince William County Public Schools,30.3,Sonnie Penn Elementary Prince William County Public Schools
Stuart M. Beville Middle,Prince William County Public Schools,59.4,Stuart M. Beville Middle Prince William County Public Schools
Buckland Mills Elementary,Prince William County Public Schools,22,Buckland Mills Elementary Prince William County Public Schools
Bull Run Middle,Prince William County Public Schools,30.8,Bull Run Middle Prince William County Public Schools
Gainesville Middle,Prince William County Public Schools,16.7,Gainesville Middle Prince William County Public Schools
Glenkirk Elementary,Prince William County Public Schools,9,Glenkirk Elementary Prince William County Public Schools
Lake Ridge Elementary,Prince William County Public Schools,40.4,Lake Ridge Elementary Prince William County Public Schools
Patriot High,Prince William County Public Schools,13.9,Patriot High Prince William County Public Schools
Rockledge Elementary,Prince William County Public Schools,51.7,Rockledge Elementary Prince William County Public Schools
Minnieville Elementary,Prince William County Public Schools,68.8,Minnieville Elementary Prince William County Public Schools
Lake Ridge Middle,Prince William County Public Schools,36.2,Lake Ridge Middle Prince William County Public Schools
John F. Pattie Sr. Elementary,Prince William County Public Schools,39.4,John F. Pattie Sr. Elementary Prince William County Public Schools
George G. Tyler Elementary,Prince William County Public Schools,24,George G. Tyler Elementary Prince William County Public Schools
Fannie W. Fitzgerald Elementary,Prince William County Public Schools,55.8,Fannie W. Fitzgerald Elementary Prince William County Public Schools
Sudley Elementary,Prince William County Public Schools,66.4,Sudley Elementary Prince William County Public Schools
Unity Reed High,Prince William County Public Schools,60.7,Unity Reed High Prince William County Public Schools
Triangle Elementary,Prince William County Public Schools,66.9,Triangle Elementary Prince William County Public Schools
Parkside Middle,Prince William County Public Schools,52.8,Parkside Middle Prince William County Public Schools
Yorkshire Elementary,Prince William County Public Schools,83.9,Yorkshire Elementary Prince William County Public Schools
Springwoods Elementary,Prince William County Public Schools,37.2,Springwoods Elementary Prince William County Public Schools
Haymarket Elementary,Prince William County Public Schools,11.8,Haymarket Elementary Prince William County Public Schools
Mountain View Elementary,Prince William County Public Schools,8.6,Mountain View Elementary Prince William County Public Schools
Montclair Elementary,Prince William County Public Schools,45.7,Montclair Elementary Prince William County Public Schools
River Oaks Elementary,Prince William County Public Schools,64.5,River Oaks Elementary Prince William County Public Schools
C.A. Sinclair Elementary,Prince William County Public Schools,83.2,C.A. Sinclair Elementary Prince William County Public Schools
Signal Hill Elementary,Prince William County Public Schools,29.9,Signal Hill Elementary Prince William County Public Schools
Leesylvania Elementary,Prince William County Public Schools,45.7,Leesylvania Elementary Prince William County Public Schools
Woodbridge High,Prince William County Public Schools,43.5,Woodbridge High Prince William County Public Schools
Martin Luther King Jr. Elementary,Prince William County Public Schools,54,Martin Luther King Jr. Elementary Prince William County Public Schools
Westridge Elementary,Prince William County Public Schools,23.5,Westridge Elementary Prince William County Public Schools
T. Clay Wood Elementary,Prince William County Public Schools,12.5,T. Clay Wood Elementary Prince William County Public Schools
Toano Middle,Williamsburg-James City County Public Schools,29.1,Toano Middle Williamsburg-James City County Public Schools
Berkeley Middle,Williamsburg-James City County Public Schools,40.4,Berkeley Middle Williamsburg-James City County Public Schools
James Blair Middle,Williamsburg-James City County Public Schools,40.4,James Blair Middle Williamsburg-James City County Public Schools
Matthew Whaley Elementary,Williamsburg-James City County Public Schools,45.1,Matthew Whaley Elementary Williamsburg-James City County Public Schools
Lafayette High,Williamsburg-James City County Public Schools,33.5,Lafayette High Williamsburg-James City County Public Schools
Lois Hornsby Middle,Williamsburg-James City County Public Schools,29.8,Lois Hornsby Middle Williamsburg-James City County Public Schools
Matoaka Elementary,Williamsburg-James City County Public Schools,21.3,Matoaka Elementary Williamsburg-James City County Public Schools
Warhill High,Williamsburg-James City County Public Schools,26,Warhill High Williamsburg-James City County Public Schools
